nome,preco,categoria,descricao,disponibilidade,rating,link
A Light in the Attic,51.77,Livros,A Light in the Attic,In stock,3,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,53.74,Livros,Tipping the Velvet,In stock,1,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Soumission,50.1,Livros,Soumission,In stock,1,https://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,47.82,Livros,Sharp Objects,In stock,4,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,54.23,Livros,Sapiens: A Brief History of Humankind,In stock,5,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,22.65,Livros,The Requiem Red,In stock,1,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,33.34,Livros,The Dirty Little Secrets of Getting Your Dream Job,In stock,4,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Livros,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",In stock,3,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Livros,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,In stock,4,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,52.15,Livros,The Black Maria,In stock,1,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Livros,"Starving Hearts (Triangular Trade Trilogy, #1)",In stock,2,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,20.66,Livros,Shakespeare's Sonnets,In stock,4,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Set Me Free,17.46,Livros,Set Me Free,In stock,5,https://books.toscrape.com/catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Livros,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),In stock,5,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
